2019-12-06 16:52:01
Namespace(batch_size=256, d_FC_layer=128, d_graph_layer=140, dropout_rate=0.3, dude_data_fpath='data/', epoch=1000, initial_dev=1.0, initial_mu=4.0, lr=0.0001, n_FC_layer=4, n_graph_layer=4, ngpu=1, num_workers=0, save_dir='./save/', test_keys='keys/test_keys.pkl', train_keys='keys/train_keys.pkl')
Number of train data: 730
Number of test data: 255
number of parameters :  217527
0	0.730	0.686	0.491	0.537	2.065
1	0.708	0.740	0.514	0.558	1.799
2	0.715	0.790	0.501	0.508	1.759
3	0.709	0.828	0.504	0.509	1.732
4	0.707	0.854	0.502	0.509	1.925
5	0.707	0.867	0.504	0.509	1.814
6	0.713	0.858	0.518	0.513	1.831
7	0.704	0.838	0.518	0.514	1.880
8	0.694	0.819	0.547	0.521	1.841
9	0.706	0.796	0.516	0.532	1.800
10	0.694	0.780	0.535	0.542	1.855
11	0.705	0.771	0.485	0.553	1.725
12	0.700	0.763	0.510	0.561	1.756
13	0.699	0.758	0.513	0.564	1.828
14	0.711	0.752	0.473	0.565	1.821
15	0.687	0.747	0.563	0.575	1.864
16	0.703	0.744	0.497	0.578	1.774
17	0.690	0.749	0.542	0.572	1.870
18	0.690	0.755	0.540	0.568	1.760
19	0.691	0.750	0.549	0.576	1.867
20	0.688	0.736	0.553	0.601	1.830
21	0.695	0.723	0.517	0.614	1.840
22	0.687	0.710	0.550	0.632	1.793
23	0.681	0.693	0.601	0.645	1.888
24	0.673	0.690	0.638	0.657	1.771
25	0.680	0.696	0.594	0.656	1.814
26	0.672	0.697	0.632	0.656	1.785
27	0.669	0.703	0.626	0.659	1.796
28	0.657	0.693	0.694	0.661	1.810
29	0.650	0.673	0.715	0.670	1.851
30	0.648	0.646	0.704	0.681	1.764
31	0.654	0.656	0.677	0.680	1.897
32	0.636	0.664	0.729	0.679	1.798
33	0.618	0.663	0.762	0.678	1.853
34	0.628	0.692	0.719	0.679	1.805
35	0.612	0.652	0.764	0.687	1.867
36	0.594	0.590	0.772	0.699	1.815
37	0.584	0.574	0.780	0.703	1.855
38	0.580	0.611	0.780	0.696	1.892
39	0.569	0.587	0.797	0.698	1.799
40	0.562	0.468	0.791	0.708	1.775
41	0.530	0.479	0.828	0.716	1.952
42	0.527	0.606	0.824	0.714	1.889
43	0.544	0.593	0.806	0.733	1.756
44	0.519	0.489	0.820	0.751	1.844
45	0.492	0.481	0.847	0.762	2.006
46	0.469	0.525	0.867	0.772	1.744
47	0.498	0.442	0.844	0.784	1.752
48	0.435	0.398	0.886	0.790	1.761
49	0.439	0.425	0.884	0.804	1.812
50	0.413	0.353	0.901	0.812	1.804
51	0.449	0.306	0.873	0.819	1.888
52	0.396	0.465	0.903	0.835	1.806
53	0.418	0.282	0.903	0.847	1.782
54	0.441	0.270	0.884	0.841	1.857
55	0.368	0.334	0.918	0.841	1.889
56	0.350	0.293	0.929	0.836	1.880
57	0.374	0.296	0.911	0.830	1.885
58	0.348	0.257	0.926	0.823	1.797
59	0.328	0.273	0.931	0.823	1.848
60	0.311	0.263	0.938	0.817	1.789
61	0.320	0.234	0.934	0.813	1.960
62	0.302	0.242	0.943	0.807	1.859
63	0.304	0.311	0.936	0.810	1.758
64	0.297	0.258	0.944	0.815	1.834
65	0.310	0.176	0.935	0.819	1.786
66	0.303	0.195	0.945	0.831	1.797
67	0.275	0.329	0.949	0.839	1.873
68	0.292	0.258	0.949	0.830	1.817
69	0.248	0.159	0.962	0.815	1.899
70	0.249	0.173	0.964	0.801	1.917
71	0.232	0.243	0.966	0.799	1.892
72	0.289	0.225	0.941	0.798	1.823
73	0.243	0.186	0.957	0.761	1.852
74	0.226	0.196	0.966	0.772	1.881
75	0.241	0.181	0.960	0.784	2.022
76	0.257	0.163	0.954	0.784	1.801
77	0.203	0.181	0.973	0.797	1.932
78	0.250	0.207	0.955	0.796	1.863
79	0.211	0.163	0.969	0.795	1.966
80	0.224	0.167	0.966	0.792	1.853
81	0.222	0.181	0.965	0.790	1.845
82	0.238	0.182	0.960	0.788	1.865
83	0.196	0.174	0.969	0.788	1.760
84	0.200	0.155	0.972	0.784	1.808
85	0.184	0.154	0.976	0.784	2.008
86	0.198	0.163	0.972	0.789	1.785
87	0.231	0.145	0.959	0.785	1.862
88	0.228	0.146	0.960	0.770	1.853
89	0.190	0.189	0.971	0.771	1.791
90	0.167	0.177	0.978	0.761	1.730
91	0.215	0.162	0.964	0.751	1.829
92	0.157	0.163	0.983	0.744	1.783
93	0.188	0.150	0.970	0.741	1.819
94	0.193	0.154	0.971	0.740	1.794
95	0.184	0.149	0.973	0.744	1.795
96	0.164	0.147	0.980	0.750	1.818
97	0.182	0.159	0.975	0.768	1.863
98	0.177	0.166	0.977	0.776	1.826
99	0.178	0.135	0.978	0.754	1.794
100	0.192	0.144	0.976	0.746	1.826
101	0.143	0.204	0.988	0.757	1.779
102	0.158	0.186	0.982	0.724	1.780
103	0.162	0.149	0.981	0.723	1.866
104	0.184	0.146	0.971	0.725	1.800
105	0.152	0.188	0.982	0.724	1.785
106	0.206	0.164	0.968	0.726	1.733
107	0.141	0.150	0.985	0.726	1.787
108	0.134	0.155	0.984	0.730	1.859
109	0.131	0.184	0.985	0.746	1.811
110	0.158	0.158	0.980	0.742	2.037
111	0.130	0.138	0.988	0.736	1.897
112	0.151	0.150	0.987	0.758	1.914
113	0.168	0.210	0.978	0.762	1.769
114	0.150	0.166	0.988	0.739	1.759
115	0.139	0.138	0.984	0.732	1.757
116	0.182	0.148	0.978	0.732	1.866
117	0.138	0.164	0.984	0.728	1.793
118	0.148	0.163	0.983	0.728	1.766
119	0.104	0.166	0.991	0.725	1.797
120	0.098	0.175	0.992	0.718	1.797
121	0.158	0.168	0.979	0.715	1.889
122	0.108	0.164	0.990	0.714	1.859
123	0.136	0.170	0.988	0.720	2.197
124	0.106	0.174	0.993	0.728	2.015
125	0.151	0.155	0.981	0.731	1.907
